query,original_query,concepts
Textbooks about economics,<mark>Economics textbooks</mark>,"[""Economics textbooks"", ""Microeconomics textbooks"", ""Macroeconomics textbooks"", ""Econometrics textbooks"", ""International economics textbooks"", ""Public economics textbooks""]"
what are  Fauna of Masbate or Birds of Mindoro?,<mark>Fauna of Masbate</mark> or <mark>Birds of Mindoro</mark>,"[""Fauna of Masbate Province"", ""Birds of Mindoro""]"
Italian paranormal films that are set in court rooms,<mark>Paranormal films</mark> that are also both <mark>Italian films</mark> and <mark>Courtroom films</mark>,"[""Italian films"", ""Paranormal films"", ""Films set in courtrooms""]"
bats of western new guinea,<mark>Bats</mark> that are also <mark>Mammals of Western New Guinea</mark>,"[""Bats of Western New Guinea"", ""Bats of New Guinea"", ""Bats of Indonesia"", ""Mammals of Western New Guinea"", ""Endemic bats of New Guinea""]"
Flora of the Solomon Islands (archipelago) that are also Angiosperms,<mark>Angiosperms</mark> that are also <mark>Flora of the Solomon Islands (archipelago)</mark>,"[""Flora of the Solomon Islands archipelago"", ""Angiosperms"", ""Native plants of the Solomon Islands archipelago"", ""Eudicots""]"
what are Flora of Eastern Asia that are also Flora of New Zealand,<mark>Flora of Eastern Asia</mark> that are also <mark>Flora of New Zealand</mark>,"[""Flora of Eastern Asia"", ""Flora of New Zealand"", ""Naturalized flora of New Zealand""]"
1931 short films about children,<mark>Films about children</mark> that are also both <mark>20th-century films</mark> and <mark>1931 short films</mark>,"[""Short films"", ""Films about children"", ""Pre-Code era films"", ""Early sound era films""]"
1982 speculative fiction novels that are not sci-fi,<mark>1982 speculative fiction novels</mark> that are not <mark>1980s science fiction novels</mark>,"[""Speculative fiction novels"", ""Science fiction novels"", ""Fantasy novels"", ""Horror novels"", ""Magical realism novels""]"
Novels by Thomas Pynchon or about Nazis,<mark>Novels about Nazis</mark> or <mark>Novels by Thomas Pynchon</mark>,"[""Novels by Thomas Pynchon"", ""Novels about Nazism""]"
plants only found in Nihoa or extinct plants of Hawaii,<mark>Extinct flora of Hawaii</mark> or <mark>Endemic flora of Nihoa</mark>,"[""Endemic flora of Nihoa"", ""Extinct flora of Hawaii""]"
plants only from Gabon,<mark>Endemic flora of Gabon</mark>,"[""Endemic flora of Gabon"", ""Endemic flowering plants of Gabon"", ""Endemic ferns of Gabon""]"
1946 Indian musical films,<mark>Indian musical films</mark> that are also <mark>1946 films</mark>,"[""Indian films"", ""Musical films"", ""1946 films""]"
1950s books about Oceania but are not Australian,<mark>Books about Oceania</mark> that are also <mark>1950s books</mark> but not <mark>Australian books</mark>,"[""Books about Oceania"", ""1950s books"", ""Books about Australia"", ""Australian literature""]"
Holocaust legal films that are about revenge.,<mark>Holocaust films</mark> that are also both <mark>Legal films</mark> and <mark>Films about revenge</mark>,"[""Holocaust films"", ""Legal drama films"", ""Courtroom films"", ""Revenge-themed films"", ""War crimes trial films""]"
Philippine teen romance or coming-of-age films or shot in Pampanga,<mark>Philippine coming-of-age films</mark> or <mark>Philippine teen romance films</mark> or <mark>Films shot in Pampanga</mark>,"[""Philippine teen romance films"", ""Coming-of-age films"", ""Films shot in Pampanga""]"
"what are some Late Ordovician animals, Paleozoic cephalopods of Asia, or Paleozoic animals of Oceania",<mark>Late Ordovician animals</mark> or <mark>Paleozoic cephalopods of Asia</mark> or <mark>Paleozoic animals of Oceania</mark>,"[""Late Ordovician animals"", ""Paleozoic cephalopods of Asia"", ""Paleozoic animals of Oceania""]"
Quaternary animals or Paleogene amphibians of Europe,<mark>Paleogene amphibians of Europe</mark> or <mark>Quaternary animals of Europe</mark>,"[""Quaternary animals of Europe"", ""Paleogene amphibians of Europe""]"
"Birds of the Cerrado, the Atlantic Ocean, and Central America",<mark>Birds of Central America</mark> that are also both <mark>Birds of the Atlantic Ocean</mark> and <mark>Birds of the Cerrado</mark>,"[""Birds of the Cerrado"", ""Birds of the Atlantic Ocean"", ""Birds of Central America""]"
Films about organized crime in Turkey,<mark>Films about organized crime in Turkey</mark> or <mark>Turkish crime films</mark>,"[""Organized crime films"", ""Films set in Turkey"", ""Turkish crime films"", ""Films about the Turkish mafia""]"
"Senegalese documentary films,Senegalese short documentary films, or Mauritanian films",<mark>Senegalese short documentary films</mark> or <mark>Senegalese documentary films</mark> or <mark>Mauritanian films</mark>,"[""Senegalese documentary films"", ""Senegalese short documentary films"", ""Mauritanian films""]"
Trading films excluding Films set on islands,<mark>Trading films</mark> that are not <mark>Films set on islands</mark>,"[""International trade films"", ""Financial market trading films"", ""Commodity trading films"", ""Films set on islands""]"
American Holiday themed comedy-crime film from 2005,<mark>2005 comedy films</mark> that are also both <mark>Holiday-themed films</mark> and <mark>American crime films</mark>,"[""American films"", ""Holiday films"", ""Crime comedy films"", ""2005 films""]"
American action films about security and surveillance also bullying,<mark>Films about bullying</mark> that are also both <mark>Films about security and surveillance</mark> and <mark>American action films</mark>,"[""American action films"", ""Films about surveillance"", ""Films about intelligence agencies"", ""Films about national security"", ""Films about bullying""]"
Rodents from Bangladesh or Singapore,<mark>Rodents of Bangladesh</mark> or <mark>Rodents of Singapore</mark>,"[""Rodents of Bangladesh"", ""Rodents of Singapore""]"
Birds of Southeast Asia in 1841 described.,<mark>Birds described in 1841</mark> that are also <mark>Birds of Southeast Asia</mark>,"[""Birds of Southeast Asia"", ""Birds described in 1841"", ""Endemic birds of Southeast Asia"", ""Birds of the Malay Archipelago""]"
American novels about society from 1993,<mark>1993 American novels</mark> that are also <mark>Books about society</mark>,"[""American novels"", ""Social novels"", ""1990s novels""]"
Bryophyta of Australia or New Zealand or Australasia,<mark>Bryophyta of Australia</mark> or <mark>Bryophyta of New Zealand</mark> or <mark>Bryophyta of Australasia</mark>,"[""Bryophyta of Australia"", ""Bryophyta of New Zealand"", ""Bryophyta of Australasia""]"
Novels written by Val McDermid,<mark>Novels by Val McDermid</mark>,"[""Novels by Val McDermid"", ""Tony Hill and Carol Jordan novels"", ""Karen Pirie novels"", ""Kate Brannigan novels"", ""Lindsay Gordon novels""]"
Birds of West Africa and apodidae,<mark>Apodidae</mark> that are also <mark>Birds of West Africa</mark>,"[""Birds of West Africa"", ""Apodidae (swifts)""]"
Polish films about organized crime,<mark>Polish films</mark> that are also <mark>Films about organized crime</mark>,"[""Polish films"", ""Polish-language films"", ""Films about organized crime"", ""Gangster films"", ""Crime films set in Poland""]"
what is  Fauna of Fiji that are also Fauna of Palau,<mark>Fauna of Fiji</mark> that are also <mark>Fauna of Palau</mark>,"[""Fauna of Fiji"", ""Fauna of Palau"", ""Seabirds of the western Pacific"", ""Coral reef fauna of Oceania""]"
"mammals found in the Atlantic Ocean and Colombia, but not in Brazil",<mark>Fauna of the Atlantic Ocean</mark> that are also <mark>Mammals of Colombia</mark> but not <mark>Mammals of Brazil</mark>,"[""Marine mammals of the Atlantic Ocean"", ""Mammals of Colombia"", ""Mammals of Brazil""]"
Novels about diseases and disorders set on islands but not in the UK,<mark>Novels about diseases and disorders</mark> that are also <mark>Novels set on islands</mark> but not <mark>Novels set in the United Kingdom</mark>,"[""Novels about diseases and disorders"", ""Novels set on islands"", ""Novels set in the United Kingdom""]"
Flora of western South America and Southwestern United States that are also Eudicot genera,<mark>Flora of the Southwestern United States</mark> that are also both <mark>Eudicot genera</mark> and <mark>Flora of western South America</mark>,"[""Flora of western South America"", ""Flora of the Southwestern United States"", ""Eudicot genera""]"
Films set in Libya that aren't set in 1942,<mark>Films set in Libya</mark> that are not <mark>Films set in 1942</mark>,"[""Films set in Libya"", ""North African Campaign films"", ""Contemporary films set in Libya""]"
Flora of northern South America and Guatemala but not Honduras,<mark>Flora of northern South America</mark> that are also <mark>Flora of Guatemala</mark> but not <mark>Flora of Honduras</mark>,"[""Flora of northern South America"", ""Flora of Guatemala"", ""Flora of Honduras""]"
Fauna or birds of Halmahera,<mark>Fauna of Halmahera</mark> or <mark>Birds of Halmahera</mark>,"[""Fauna of Halmahera"", ""Birds of Halmahera""]"
Weidenfeld & nicolson books about and set in Paris,<mark>Books about Paris</mark> that are also both <mark>Weidenfeld & Nicolson books</mark> and <mark>Novels set in Paris</mark>,"[""Weidenfeld & Nicolson books"", ""Books set in Paris"", ""Books about Paris""]"
Beetles of North Africa not found in Europe,<mark>Beetles of North Africa</mark> that are not <mark>Invertebrates of Europe</mark>,"[""Beetles of North Africa"", ""Beetles of Europe"", ""Endemic beetles of North Africa"", ""Beetles of the Sahara Desert""]"
what are some Volleyball films,<mark>Volleyball films</mark>,"[""Sports drama films about volleyball"", ""Documentary films about volleyball"", ""Comedy films about volleyball"", ""Beach volleyball films"", ""Biographical films about volleyball players""]"
"Animals that are either in the UK or Quaternary animals of Europe, or extinct birds of Europe",<mark>Extinct birds of Europe</mark> or <mark>Quaternary animals of Europe</mark> or <mark>Animals in the United Kingdom</mark>,"[""Animals of the United Kingdom"", ""Quaternary fauna of Europe"", ""Extinct birds of Europe""]"
South American oceanian realm plants that aren't from Australasia,<mark>Flora of South America</mark> that are also <mark>Oceanian realm flora</mark> but not <mark>Flora of Australasia</mark>,"[""Flora of South America"", ""Flora of the Oceanian realm"", ""Flora of the Australasian realm""]"
Books by Monique Wittig or Les Éditions de Minuit books,<mark>Les Éditions de Minuit books</mark> or <mark>Books by Monique Wittig</mark>,"[""Books by Monique Wittig"", ""Books published by Les \u00c9ditions de Minuit""]"
"what are Endemic flora of Morocco, Endemic flora of Algeria, or Trees of Algeria?",<mark>Endemic flora of Morocco</mark> or <mark>Endemic flora of Algeria</mark> or <mark>Trees of Algeria</mark>,"[""Endemic flora of Morocco"", ""Endemic flora of Algeria"", ""Trees of Algeria""]"
2010's adventure films set in the Southwestern United States but not in California,<mark>2010s adventure films</mark> that are also <mark>Films set in the Southwestern United States</mark> but not <mark>Films set in California</mark>,"[""Adventure films"", ""2010s films"", ""Films set in the U.S. Southwest"", ""Films set in California""]"
Plants found in both Madagascar and Myanmar,<mark>Flora of Madagascar</mark> that are also <mark>Flora of Myanmar</mark>,"[""Flora of Madagascar"", ""Flora of Myanmar"", ""Pantropical plant species"", ""Indian Ocean coastal plants""]"
Mammals that are of Guadeloupe or Mammals that are of Barbados,<mark>Mammals of Guadeloupe</mark> or <mark>Mammals of Barbados</mark>,"[""Mammals of Guadeloupe"", ""Mammals of Barbados"", ""Mammals of the Lesser Antilles"", ""Mammals of the Caribbean""]"
what are  1932 science fiction novels or Chinese science fiction novels?,<mark>1932 science fiction novels</mark> or <mark>Chinese science fiction novels</mark>,"[""Science fiction novels published in 1932"", ""Chinese science fiction novels""]"
Books that are Anti-fascist or about Oedipus complex,<mark>Anti-fascist books</mark> or <mark>Books about the Oedipus complex</mark>,"[""Anti-fascist books"", ""Anti-fascist novels"", ""Books about the Oedipus complex"", ""Psychoanalytic nonfiction on the Oedipus complex""]"
19999 Books about the United Kingdom that are Headline Publishing Group Books,<mark>1999 books</mark> that are also both <mark>Headline Publishing Group books</mark> and <mark>Books about the United Kingdom</mark>,"[""Books about the United Kingdom"", ""Headline Publishing Group books""]"
2016 speculative fiction novels that are not american,<mark>2016 speculative fiction novels</mark> that are not <mark>2016 American novels</mark>,"[""Speculative fiction novels"", ""2010s novels"", ""American novels""]"
